Date,Open,High,Low,Close,Volume
02/02/2018,354.00,355.20,348.70,348.91,"5,486,074"
02/01/2018,352.95,361.45,352.04,356.94,"6,067,581"
01/31/2018,360.50,360.97,351.62,354.37,"11,409,626"
01/30/2018,339.17,339.98,334.16,337.71,"4,983,055"
01/29/2018,341.23,344.48,340.10,340.82,"3,324,878"
01/26/2018,344.33,345.98,341.25,343.22,"5,236,260"
01/25/2018,336.21,343.62,335.30,343.11,"4,747,478"
01/24/2018,336.20,338.99,334.14,334.69,"4,205,351"
01/23/2018,338.34,338.94,334.81,335.59,"4,537,784"
01/22/2018,335.29,341.38,332.04,338.00,"6,792,870"
01/19/2018,341.67,344.00,335.75,337.73,"7,264,401"
01/18/2018,350.70,350.83,339.15,340.16,"9,458,634"
01/17/2018,337.73,352.23,336.41,351.01,"9,699,917"
01/16/2018,339.90,347.73,331.33,335.16,"12,305,475"
01/15/2018,336.21,336.21,336.21,336.21,�
01/12/2018,330.38,336.88,330.38,336.21,"6,559,284"
01/11/2018,322.13,328.40,321.19,328.12,"4,635,344"
01/10/2018,317.49,322.15,315.50,320.26,"4,479,288"
01/09/2018,310.59,319.91,310.49,318.43,"5,641,298"
01/08/2018,308.66,310.86,305.75,310.15,"4,124,862"
01/05/2018,296.77,308.89,296.72,308.84,"6,177,731"
01/04/2018,297.94,298.42,295.47,296.67,"4,171,720"
01/03/2018,295.94,298.50,295.47,297.80,"3,211,195"
01/02/2018,295.75,296.99,295.40,296.84,"2,978,918"
01/01/2018,294.91,294.91,294.91,294.91,�
12/29/2017,296.94,297.30,294.83,294.91,"1,824,591"
12/28/2017,295.81,296.99,294.74,296.35,"1,436,751"
12/27/2017,296.41,296.80,294.80,295.62,"1,447,837"
12/26/2017,295.54,297.44,294.65,295.36,"1,394,737"
12/25/2017,295.10,295.10,295.10,295.10,�
12/22/2017,296.33,296.52,293.01,295.10,"2,257,350"
12/21/2017,298.05,298.39,294.13,295.03,"5,398,275"
12/20/2017,298.70,299.33,297.11,297.90,"2,533,689"
12/19/2017,296.50,297.58,294.18,297.25,"2,728,367"
12/18/2017,296.00,297.14,294.52,296.14,"2,901,644"
12/15/2017,295.87,297.37,293.02,293.94,"6,933,490"
12/14/2017,293.35,296.82,292.60,293.88,"3,913,444"
12/13/2017,290.50,295.85,289.70,291.84,"5,003,328"
